"Keyword","Search Engine","Search URL","Result URL","Rank","Type","Match","Directory","Last Rank","Starred"
"Accident Attorney","google","https://www.google.com/search?q=Accident+Attorney&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Accident Attorney","google-places","https://www.google.com/search?q=Accident+Attorney&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","10","Places","cid","n/a","11","no"
"Accident Attorney","yahoo","https://search.yahoo.com/search?p=Accident+Attorney&n=100","","","","","","","no"
"Accident Attorney","bing","https://www.bing.com/search?q=Accident+Attorney&mkt=en-US","","","","","","","no"
"Accident Lawyer","google","https://www.google.com/search?q=Accident+Lawyer&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Accident Lawyer","google-places","https://www.google.com/search?q=Accident+Lawyer&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","9","Places","cid","n/a","11","no"
"Accident Lawyer","yahoo","https://search.yahoo.com/search?p=Accident+Lawyer&n=100","","","","","","","no"
"Accident Lawyer","bing","https://www.bing.com/search?q=Accident+Lawyer&mkt=en-US","","","","","","","no"
"Birth Injury Attorney","google","https://www.google.com/search?q=Birth+Injury+Attorney&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.google.com//maps?cid=18327335812929580429","2","Places","cid","n/a","2","no"
"Birth Injury Attorney","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Attorney&n=100","","","","","","","no"
"Birth Injury Attorney","google-places","https://www.google.com/search?q=Birth+Injury+Attorney&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/contact-us/","9","Places","website address","n/a","10","no"
"Birth Injury Attorney","google-places","https://www.google.com/search?q=Birth+Injury+Attorney&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","2","Places","cid","n/a","2","no"
"Birth Injury Attorney","bing","https://www.bing.com/search?q=Birth+Injury+Attorney&mkt=en-US","","","","","","","no"
"Birth Injury Attorney denver","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Attorney+denver&n=100","https://www.brakelaw.com/services/birth-injury/","9","Organic","website address","n/a","10","no"
"Birth Injury Attorney denver","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Attorney+denver&n=100","https://www.brakelaw.com/services/medical-malpractice/","48","Organic","website address","n/a","43","no"
"Birth Injury Attorney denver","bing","https://www.bing.com/search?q=Birth+Injury+Attorney+denver&mkt=en-US","https://www.brakelaw.com/services/birth-injury/","19","Organic","website address","n/a","11","no"
"Birth Injury Attorney denver","bing","https://www.bing.com/search?q=Birth+Injury+Attorney+denver&mkt=en-US","https://www.brakelaw.com/services/medical-malpractice/","43","Organic","website address","n/a","38","no"
"Birth Injury Attorney denver","google","https://www.google.com/search?q=Birth+Injury+Attorney+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.google.com//maps?cid=18327335812929580429","3","Places","cid","n/a","3","no"
"Birth Injury Attorney denver","google-places","https://www.google.com/search?q=Birth+Injury+Attorney+denver&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","2","Places","cid","n/a","2","no"
"Birth Injury Attorney denver","google","https://www.google.com/search?q=Birth+Injury+Attorney+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/Birth-Injury-Attorney-Colorado-Springs-CO.html","21","Organic","website address","n/a","20","no"
"Birth Injury Attorneys","google","https://www.google.com/search?q=Birth+Injury+Attorneys&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.google.com//maps?cid=18327335812929580429","8","Places","cid","n/a","8","no"
"Birth Injury Attorneys","google-places","https://www.google.com/search?q=Birth+Injury+Attorneys&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","1","Places","cid","n/a","1","no"
"Birth Injury Attorneys","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Attorneys&n=100","","","","","","","no"
"Birth Injury Attorneys","bing","https://www.bing.com/search?q=Birth+Injury+Attorneys&mkt=en-US","","","","","","","no"
"Birth Injury Attorneys denver","bing","https://www.bing.com/search?q=Birth+Injury+Attorneys+denver&mkt=en-US","https://www.brakelaw.com/services/medical-malpractice/","47","Organic","website address","n/a","26","no"
"Birth Injury Attorneys denver","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Attorneys+denver&n=100","https://www.brakelaw.com/services/birth-injury/","9","Organic","website address","n/a","9","no"
"Birth Injury Attorneys denver","bing","https://www.bing.com/search?q=Birth+Injury+Attorneys+denver&mkt=en-US","https://www.brakelaw.com/services/birth-injury/","10","Organic","website address","n/a","9","no"
"Birth Injury Attorneys denver","google-places","https://www.google.com/search?q=Birth+Injury+Attorneys+denver&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","2","Places","cid","n/a","3","no"
"Birth Injury Attorneys denver","google","https://www.google.com/search?q=Birth+Injury+Attorneys+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/Birth-Injury-Attorney-Colorado-Springs-CO.html","19","Organic","website address","n/a","33","no"
"Birth Injury Attorneys denver","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Attorneys+denver&n=100","https://www.brakelaw.com/services/birth-injury/","13","Organic","website address","n/a","n/a","no"
"Birth Injury Attorneys denver","google","https://www.google.com/search?q=Birth+Injury+Attorneys+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.google.com//maps?cid=18327335812929580429","2","Places","cid","n/a","3","no"
"Birth Injury Attorneys denver","bing","https://www.bing.com/search?q=Birth+Injury+Attorneys+denver&mkt=en-US","https://www.brakelaw.com/services/birth-injury/","14","Organic","website address","n/a","n/a","no"
"Birth Injury Lawyer","bing","https://www.bing.com/search?q=Birth+Injury+Lawyer&mkt=en-US","","","","","","","no"
"Birth Injury Lawyer","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Lawyer&n=100","","","","","","","no"
"Birth Injury Lawyer","google-places","https://www.google.com/search?q=Birth+Injury+Lawyer&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/contact-us/","7","Places","website address","n/a","7","no"
"Birth Injury Lawyer","google-places","https://www.google.com/search?q=Birth+Injury+Lawyer&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","2","Places","cid","n/a","2","no"
"Birth Injury Lawyer","google","https://www.google.com/search?q=Birth+Injury+Lawyer&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.google.com//maps?cid=18327335812929580429","5","Places","cid","n/a","5","no"
"Birth Injury Lawyer denver","google","https://www.google.com/search?q=Birth+Injury+Lawyer+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.google.com//maps?cid=18327335812929580429","2","Places","cid","n/a","2","no"
"Birth Injury Lawyer denver","google","https://www.google.com/search?q=Birth+Injury+Lawyer+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/Birth-Injury-Attorney-Colorado-Springs-CO.html","21","Organic","website address","n/a","23","no"
"Birth Injury Lawyer denver","google-places","https://www.google.com/search?q=Birth+Injury+Lawyer+denver&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","2","Places","cid","n/a","2","no"
"Birth Injury Lawyer denver","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Lawyer+denver&n=100","https://www.brakelaw.com/services/birth-injury/","2","Organic","website address","n/a","2","no"
"Birth Injury Lawyer denver","bing","https://www.bing.com/search?q=Birth+Injury+Lawyer+denver&mkt=en-US","https://www.brakelaw.com/services/birth-injury/","8","Organic","website address","n/a","n/a","no"
"Birth Injury Lawyer denver","bing","https://www.bing.com/search?q=Birth+Injury+Lawyer+denver&mkt=en-US","https://www.brakelaw.com/","25","Organic","website address","n/a","21","no"
"Birth Injury Lawyers","google-places","https://www.google.com/search?q=Birth+Injury+Lawyers&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","2","Places","cid","n/a","2","no"
"Birth Injury Lawyers","google","https://www.google.com/search?q=Birth+Injury+Lawyers&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.google.com//maps?cid=18327335812929580429","2","Places","cid","n/a","2","no"
"Birth Injury Lawyers","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Lawyers&n=100","","","","","","","no"
"Birth Injury Lawyers","bing","https://www.bing.com/search?q=Birth+Injury+Lawyers&mkt=en-US","","","","","","","no"
"Birth Injury Lawyers denver","bing","https://www.bing.com/search?q=Birth+Injury+Lawyers+denver&mkt=en-US","https://www.brakelaw.com/services/medical-malpractice/","48","Organic","website address","n/a","n/a","no"
"Birth Injury Lawyers denver","google","https://www.google.com/search?q=Birth+Injury+Lawyers+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/Birth-Injury-Attorney-Colorado-Springs-CO.html","21","Organic","website address","n/a","22","no"
"Birth Injury Lawyers denver","bing","https://www.bing.com/search?q=Birth+Injury+Lawyers+denver&mkt=en-US","https://www.brakelaw.com/services/medical-malpractice/","42","Organic","website address","n/a","n/a","no"
"Birth Injury Lawyers denver","yahoo","https://search.yahoo.com/search?p=Birth+Injury+Lawyers+denver&n=100","https://www.brakelaw.com/services/birth-injury/","7","Organic","website address","n/a","10","no"
"Birth Injury Lawyers denver","google-places","https://www.google.com/search?q=Birth+Injury+Lawyers+denver&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","2","Places","cid","n/a","2","no"
"Birth Injury Lawyers denver","google","https://www.google.com/search?q=Birth+Injury+Lawyers+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.google.com//maps?cid=18327335812929580429","2","Places","cid","n/a","2","no"
"Bus Accident Attorney","google","https://www.google.com/search?q=Bus+Accident+Attorney&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Bus Accident Attorney","google-places","https://www.google.com/search?q=Bus+Accident+Attorney&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/contact-us/","11","Places","website address","n/a","9","no"
"Bus Accident Attorney","yahoo","https://search.yahoo.com/search?p=Bus+Accident+Attorney&n=100","","","","","","","no"
"Bus Accident Attorney","bing","https://www.bing.com/search?q=Bus+Accident+Attorney&mkt=en-US","","","","","","","no"
"Bus Accident Attorney denver","google-places","https://www.google.com/search?q=Bus+Accident+Attorney+denver&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Bus Accident Attorney denver","bing","https://www.bing.com/search?q=Bus+Accident+Attorney+denver&mkt=en-US","https://www.brakelaw.com/services/auto-trucking-accidents/","21","Organic","website address","n/a","n/a","no"
"Bus Accident Attorney denver","google","https://www.google.com/search?q=Bus+Accident+Attorney+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/services/bus-accidents/","45","Organic","website address","n/a","43","no"
"Bus Accident Attorney denver","yahoo","https://search.yahoo.com/search?p=Bus+Accident+Attorney+denver&n=100","https://www.brakelaw.com/services/auto-trucking-accidents/","35","Organic","website address","n/a","36","no"
"Bus Accident Attorneys","google","https://www.google.com/search?q=Bus+Accident+Attorneys&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Bus Accident Attorneys","google-places","https://www.google.com/search?q=Bus+Accident+Attorneys&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Bus Accident Attorneys","yahoo","https://search.yahoo.com/search?p=Bus+Accident+Attorneys&n=100","","","","","","","no"
"Bus Accident Attorneys","bing","https://www.bing.com/search?q=Bus+Accident+Attorneys&mkt=en-US","","","","","","","no"
"Bus Accident Attorneys denver","bing","https://www.bing.com/search?q=Bus+Accident+Attorneys+denver&mkt=en-US","https://www.brakelaw.com/services/auto-trucking-accidents/","33","Organic","website address","n/a","n/a","no"
"Bus Accident Attorneys denver","yahoo","https://search.yahoo.com/search?p=Bus+Accident+Attorneys+denver&n=100","https://www.brakelaw.com/services/bus-accidents/","8","Organic","website address","n/a","10","no"
"Bus Accident Attorneys denver","bing","https://www.bing.com/search?q=Bus+Accident+Attorneys+denver&mkt=en-US","https://www.brakelaw.com/services/auto-trucking-accidents/","24","Organic","website address","n/a","19","no"
"Bus Accident Attorneys denver","yahoo","https://search.yahoo.com/search?p=Bus+Accident+Attorneys+denver&n=100","https://www.brakelaw.com/services/auto-trucking-accidents/","35","Organic","website address","n/a","33","no"
"Bus Accident Attorneys denver","google-places","https://www.google.com/search?q=Bus+Accident+Attorneys+denver&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Bus Accident Attorneys denver","google","https://www.google.com/search?q=Bus+Accident+Attorneys+denver&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","https://www.brakelaw.com/services/bus-accidents/","33","Organic","website address","n/a","37","no"
"Bus Accident Lawyer","google","https://www.google.com/search?q=Bus+Accident+Lawyer&gl=us&gws_rd=cr&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Bus Accident Lawyer","google-places","https://www.google.com/search?q=Bus+Accident+Lawyer&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","","","","","","","no"
"Bus Accident Lawyer","yahoo","https://search.yahoo.com/search?p=Bus+Accident+Lawyer&n=100","","","","","","","no"
"Bus Accident Lawyer","bing","https://www.bing.com/search?q=Bus+Accident+Lawyer&mkt=en-US","","","","","","","no"
"Bus Accident Lawyer denver","google-places","https://www.google.com/search?q=Bus+Accident+Lawyer+denver&gl=us&gws_rd=cr&tbm=lcl&uule=w+CAIQIFISCS1Ur6YPh2yHEbIZ0EfPTNru&num=100","http://www.brakelaw.com/","6","Places","cid","n/a","6","no"
"Bus Accident Lawyer denver","bing","https://www.bing.com/search?q=Bus+Accident+Lawyer+denver&mkt=en-US","https://www.brakelaw.com/services/bus-accidents/","10","Organic","website address","n/a","16","no"
"Bus Accident Lawyer denver","yahoo","https://search.yahoo.com/search?p=Bus+Accident+Lawyer+denver&n=100","https://www.brakelaw.com/services/bus-accidents/","7","Organic","website address","n/a","n/a","no"
